#	Runner	Time	Age	Gender	Nationality
DNF	 fages Perrine		43	F	 FRA
DNF	 FELIX Christophe		45	M	 BEL
DNF	 FIORI Giorgio		61	M	 ITA
DNF	 FOHRMEISTER Volker		38	M	 GER
DNF	 FUGIEL Jacek		61	M	 POL
DNF	 GRENNO Raphael		49	M	 SUI
DNF	 Grise Dominic		52	M	 GBR
DNF	 GRISERI Elio		58	M	 ITA
DNF	 Gross Cristiano		49	M	 ITA
DNF	 gu Haiyan		44	F	 CHN
DNF	 GUASINA Giorgio		62	M	 ITA
DNF	 Hacking Hugh		59	M	 RSA
DNF	 HAYLETT Philip		48	M	 GBR
DNF	 hernandez ruiz Javier		52	M	 MEX
DNF	 HJELMSTROM Peter		50	M	 SWE
DNF	 HOPWOOD Paul		60	M	 GBR
DNF	 Iancu David Traian		30	M	 ROU
DNF	 INCERTI Thierry		53	M	 FRA
DNF	 KINSBERGEN Robin		56	M	 NED
DNF	 LA MARTINA Dario		67	M	 ITA
DNF	 LANDRESSE Christian		54	M	 LUX
DNF	 landry Danny		50	M	 CAN
DNF	 LI Zhongxue		44	M	 CHN
DNF	 MADRIGAL Ligia		51	F	 CRC
DNF	 maistri Francesco		53	M	 ITA
DNF	 MAROIS MARTINE		49	F	 CAN
DNF	 MICHELOTTI Giuseppe		53	M	 ITA
DNF	 MORO Franco		61	M	 ITA
DNF	 olivieri Eric		58	M	 FRA
DNF	 OLIVSON Oleksandr		60	M	 UKR
DNF	 ONG Soonseng		46	M	 MAS
DNF	 PALADIN Tiziano		54	M	 ITA
DNF	 PAPI Luca		43	M	 ITA
DNF	 Paschetto Renzo		57	M	 ITA
DNF	 Patrich Tognoni		48	M	 ITA
DNF	 Perrone Fodaro Carmelo		53	M	 ITA
DNF	 PORIEL Yannick		45	M	 FRA
DNF	 POULIN Stephane		53	M	 CAN
DNF	 Pulizzi Antonio		39	M	 ITA
DNF	 QUIGLEY James		47	M	 GBR
DNF	 RALCHEVA Aneta		56	F	 BUL
DNF	 RASTELLI Daniel		-	M	 ARG
DNF	 RIGARD Mickael		41	M	 FRA
DNF	 RINALDO Alfio		65	M	 ITA
DNF	 RONCORONI Luca		50	M	 ITA
DNF	 Santos Nuno		51	M	 POR
DNF	 Sciamanna Marco		57	M	 ITA
DNF	 SHAO Sebastien		49	M	 FRA
DNF	 SPROSTON Amy		49	F	 USA
DNF	 SZKALUBA Barbara		29	F	 POL
DNF	 TAGUCHI Minori		45	M	 JPN
DNF	 TAKEDA Kentaro		45	M	 JPN
DNF	 TASKIN Sadik		36	M	 TUR
DNF	 TESTA Antonio		51	M	 ITA
DNF	 THIERRY Ador		52	M	 FRA
DNF	 TIMO Vogel		46	M	 GER
DNF	 TRABUCCHI Pietro		60	M	 ITA
DNF	 TRAINA Christophe		51	M	 BEL
DNF	 WIJAYA Hendra		57	M	 INA
