#	Runner	Time	Age	Gender	Nationality
DNF	 HERRERO Albert		42	M	 ESP
DNF	 Herrmann Sebastien		51	M	 FRA
DNF	 HJELMSTROM Peter		51	M	 SWE
DNF	 HOPWOOD Paul		61	M	 GBR
DNF	 HUNZIKER Ivan		41	M	 SUI
DNF	 IANCU David		31	M	 ROU
DNF	 ISERNIA Ruggiero		55	M	 ITA
DNF	 JACOBS Erik		60	M	 NED
DNF	 JANSSEN Rick		37	M	 NED
DNF	 JOUNEAU PIERRE HENRI		59	M	 FRA
DNF	 KOT Rafal		45	M	 POL
DNF	 KRAWCZYK Tomasz		52	M	 POL
DNF	 LEPOUTRE Antoine		46	M	 BEL
DNF	 LOCATELLI Michele Oriele		61	M	 ITA
DNF	 LOVERA Pierluigi		64	M	 ITA
DNF	 Lucas-Frost Jonathan		49	M	 GBR
DNF	 MADEIRA Luis		54	M	 POR
DNF	 MAROIS MARTINE		50	F	 CAN
DNF	 Martin dit Latour Bertrand		41	M	 FRA
DNF	 MARTIN ESCRIBANO Maximo		60	M	 ESP
DNF	 MORO Franco		62	M	 ITA
DNF	 MRTINEZ Jose		57	M	 ESP
DNF	 MULLINS Brian		44	M	 IRL
DNF	 NEGRI Mattia		36	M	 ITA
DNF	 Nordfjell Maria		55	F	 SWE
DNF	 Obreza Marko		57	M	 SLO
DNF	 OEILLET Sylvain		49	M	 FRA
DNF	 PODRAZA Tadeusz		44	M	 POL
DNF	 POIRIER Pierre		50	M	 FRA
DNF	 PRINCE Mike		54	M	 GBR
DNF	 PUIATI Stefano		60	M	 ITA
DNF	 QUIGLEY James		48	M	 GBR
DNF	 Reid Melissa		41	F	 USA
DNF	 RICCARDI Omar		52	M	 ITA
DNF	 RINALDO Alfio		66	M	 ITA
DNF	 SALT Zoe		44	F	 GBR
DNF	 SAMAIN Anthony		55	M	 BEL
DNF	 Sciamanna Marco		58	M	 ITA
DNF	 SIMAO Diogo		45	M	 POR
DNF	 Souchon Frederic		55	M	 FRA
DNF	 SPROSTON Amy		50	F	 USA
DNF	 Szramowiat Marek		47	M	 POL
DNF	 TAKEDA Kentaro		46	M	 JPN
DNF	 TASKIN Sadik		37	M	 TUR
DNF	 TESTA Antonio		52	M	 ITA
DNF	 TIERNEY Paul		42	M	 IRL
DNF	 TRABUCCHI Pietro		61	M	 ITA
DNF	 Trygub Ievgeniia		41	F	 UKR
DNF	 VAN GHELUWE Yannick		52	M	 FRA
DNF	 VUILLEN Loris		63	M	 ITA
DNF	 YVIN Erwan		49	M	 FRA
