#	Runner	Time	Race	Age	Gender	Nationality
361	 ISHII Haruka	82:01:56	29	M	 JPN
362	 SUZUKI Masayuki	82:02:00	42	M	 JPN
363	 PERFUMO Renzo	82:02:38	60	M	 ITA
364	 PROCHAZKOVA Pavlina	82:05:30	51	F	 CZE
365	 ROVELLI Roberto	82:06:35	51	M	 ITA
366	 MARCHI Arnaud	82:09:57	40	M	 FRA
367	 MORERA VALLS Josep Oriol	82:12:14	43	M	 ESP
368	 MASO SAGRERA Pere	82:12:36	51	M	 ESP
369	 ANJO Akemi	82:13:16	46	F	 JPN
370	 MUSTE GUERRERO Tono	82:15:37	43	M	 ESP
371	 NOMA Yoko	82:16:50	50	F	 JPN
372	 SUZUKI Junko	82:17:05	44	F	 JPN
373	 TOSHIHIDE Kusumoto	82:17:24	39	M	 JPN
374	 OREILLER David	82:18:57	25	M	 ITA
375	 KOJIMA Yuki	82:19:16	44	F	 JPN
376	 BRASEY Beatrice	82:20:50	48	F	 SUI
377	 GRANDJEAN Denis	83:20:50	55	M	 SUI
378	 AYALA IACUCCI Pablo	82:21:13	37	M	 ITA
379	 TANG Fungsun	82:22:12	56	M	 CHN
380	 THIBAULT Stephanie	82:22:41	34	F	 FRA
381	 SERGE Christophe	82:24:43	38	M	 FRA
382	 PIOTROWSKI Maciej	82:30:51	37	M	 POL
383	 LAZIER Pierre	82:32:20	25	M	 ITA
384	 NOOTENBOOM Shirley	82:32:34	42	F	 NED
385	 NICCO Ennio	82:32:57	54	M	 ITA
386	 GUAN Yadi	82:37:47	36	M	 CHN
387	 MAROLF Chris	82:40:10	51	M	 SUI
388	 ROBERTS Philippe	82:41:33	46	M	 GBR
389	 TODA Jun	82:44:01	35	M	 JPN
390	 ZENATO Michele	82:50:12	50	M	 ITA
391	 PAOLO Benetti	82:50:29	38	M	 ITA
392	 RICHARD FOY Marc	82:51:45	63	M	 FRA
393	 KRUSEC Tadeja	82:54:01	38	F	 SLO
394	 SOLOMAKHIN Dmitry	83:05:49	38	M	 GBR
395	 Mariotti Giovanni	83:08:06	44	M	 ITA
396	 DA FORNO Dario	83:11:09	41	M	 ITA
397	 PIDELLO Gian Marco	83:11:40	43	M	 ITA
398	 KEPKA Petr	83:22:11	40	M	 CZE
399	 WATKINS Natalia	83:26:37	43	F	 GBR
400	 WEE Teck Hian	83:28:03	46	M	 SGP
401	 BARBIER Daniel	83:44:46	64	M	 FRA
402	 COJUTTI Luca	83:53:48	43	M	 ITA
403	 GRILLO Ennio	83:54:02	44	M	 ITA
404	 TOURON Jean Michel	83:55:44	31	M	 FRA
405	 BRIAND David	83:57:33	39	M	 FRA
406	 TAMONE Luca	84:01:48	50	M	 ITA
